Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	NA Type	Oligo 	Ext.C. (L/(mol*cm))	M.W. (g/mol)	Phosphate 	DS 	# Bases	%GC 	Mod. Weight	Serial #	Config. 
Plate1NormalizedResistada	A1		Default	3/12/2021	10:27 AM	1.817	ng/ul	0.036	-0.019	-1.93	-0.65	50.00	260	0.036	0.030	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	B1		Default	3/12/2021	10:27 AM	-0.8798	ng/ul	-0.018	-0.052	0.34	0.12	50.00	260	-0.018	-0.027	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	C1		Default	3/12/2021	10:27 AM	-8.701	ng/ul	-0.174	-0.168	1.04	0.25	50.00	260	-0.174	-0.068	Measure	DNA-50									BG01695000C3404	-0.61/40/16/
Plate1NormalizedResistada	D1		Default	3/12/2021	10:27 AM	-2.000	ng/ul	-0.040	-0.082	0.49	0.15	50.00	260	-0.040	0.023	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	E1		Default	3/12/2021	10:27 AM	-0.4820	ng/ul	-0.010	-0.056	0.17	0.12	50.00	260	-0.010	0.019	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	F1		Default	3/12/2021	10:27 AM	-1.193	ng/ul	-0.024	-0.060	0.40	0.37	50.00	260	-0.024	0.013	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	G1		Default	3/12/2021	10:27 AM	-0.8914	ng/ul	-0.018	-0.071	0.25	0.24	50.00	260	-0.018	0.017	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	H1		Default	3/12/2021	10:27 AM	-0.8378	ng/ul	-0.017	-0.060	0.28	0.21	50.00	260	-0.017	0.049	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	A2		Default	3/12/2021	10:35 AM	1.423	ng/ul	0.028	0.015	1.96	1.31	50.00	260	0.028	0.004	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	B2		Default	3/12/2021	10:35 AM	1.483	ng/ul	0.030	0.002	13.55	2.14	50.00	260	0.030	0.044	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	C2		Default	3/12/2021	10:35 AM	2.710	ng/ul	0.054	0.031	1.77	2.34	50.00	260	0.054	0.007	Measure	DNA-50									BG01695000C3404	-0.61/40/16/
Plate1NormalizedResistada	D2		Default	3/12/2021	10:35 AM	1.684	ng/ul	0.034	0.021	1.61	1.25	50.00	260	0.034	0.008	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	E2		Default	3/12/2021	10:35 AM	1.702	ng/ul	0.034	0.020	1.67	1.82	50.00	260	0.034	-0.005	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	F2		Default	3/12/2021	10:35 AM	1.633	ng/ul	0.033	0.012	2.81	1.72	50.00	260	0.033	0.003	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	G2		Default	3/12/2021	10:35 AM	1.370	ng/ul	0.027	0.014	1.94	2.31	50.00	260	0.027	-0.030	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	H2		Default	3/12/2021	10:35 AM	1.289	ng/ul	0.026	0.011	2.32	2.29	50.00	260	0.026	-0.005	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	A3		Default	3/12/2021	10:36 AM	1.353	ng/ul	0.027	0.015	1.78	-0.76	50.00	260	0.027	0.018	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	B3		Default	3/12/2021	10:36 AM	1.650	ng/ul	0.033	0.008	3.96	3.44	50.00	260	0.033	0.027	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	C3		Default	3/12/2021	10:36 AM	1.135	ng/ul	0.023	0.015	1.49	8.34	50.00	260	0.023	-0.004	Measure	DNA-50									BG01695000C3404	-0.61/40/16/
Plate1NormalizedResistada	D3		Default	3/12/2021	10:36 AM	1.847	ng/ul	0.037	0.027	1.34	1.30	50.00	260	0.037	-0.021	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	E3		Default	3/12/2021	10:36 AM	1.111	ng/ul	0.022	0.018	1.22	1.11	50.00	260	0.022	-0.026	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	F3		Default	3/12/2021	10:36 AM	1.535	ng/ul	0.031	0.004	7.37	1.69	50.00	260	0.031	0.023	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	G3		Default	3/12/2021	10:36 AM	0.6022	ng/ul	0.012	0.003	4.25	-10.08	50.00	260	0.012	0.018	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	H3		Default	3/12/2021	10:36 AM	1.767	ng/ul	0.035	0.021	1.71	1.87	50.00	260	0.035	0.005	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	A4		Default	3/12/2021	10:37 AM	2.327	ng/ul	0.047	0.031	1.48	1.27	50.00	260	0.047	-0.017	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	B4		Default	3/12/2021	10:37 AM	1.574	ng/ul	0.031	0.012	2.56	1.95	50.00	260	0.031	0.035	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	C4		Default	3/12/2021	10:37 AM	1.855	ng/ul	0.037	0.018	2.11	2.10	50.00	260	0.037	0.003	Measure	DNA-50									BG01695000C3404	-0.61/40/16/
Plate1NormalizedResistada	D4		Default	3/12/2021	10:37 AM	2.219	ng/ul	0.044	0.030	1.48	1.31	50.00	260	0.044	-0.011	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	E4		Default	3/12/2021	10:37 AM	1.551	ng/ul	0.031	0.028	1.10	0.92	50.00	260	0.031	-0.017	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	F4		Default	3/12/2021	10:37 AM	2.085	ng/ul	0.042	0.016	2.66	1.23	50.00	260	0.042	0.012	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	G4		Default	3/12/2021	10:37 AM	0.9546	ng/ul	0.019	0.013	1.52	3.05	50.00	260	0.019	-0.011	Measure	DNA-50									BG01695000C3404	-0.61/32/16/
Plate1NormalizedResistada	H4		Default	3/12/2021	10:37 AM	2.339	ng/ul	0.047	0.030	1.56	0.91	50.00	260	0.047	-0.031	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	A5		Default	3/12/2021	10:38 AM	1.591	ng/ul	0.032	0.016	2.05	1.31	50.00	260	0.032	0.012	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
Plate1NormalizedResistada	B5		Default	3/12/2021	10:38 AM	1.385	ng/ul	0.028	0.015	1.81	15.20	50.00	260	0.028	0.011	Measure	DNA-50									BG01695000C3404	-0.61/36/16/
Plate1NormalizedResistada	C5		Default	3/12/2021	10:38 AM	2.061	ng/ul	0.041	0.019	2.22	5.50	50.00	260	0.041	0.019	Measure	DNA-50									BG01695000C3404	-0.61/40/16/
Plate1NormalizedResistada	D5		Default	3/12/2021	10:38 AM	2.158	ng/ul	0.043	0.028	1.55	1.54	50.00	260	0.043	0.016	Measure	DNA-50									BG01695000C3404	-0.61/28/16/
