Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
plate3cleanA1-A11	A1		Default	3/12/2021	5:31 PM	26.99	ng/ul	0.540	0.269	2.01	2.02	50.00	260	0.540	0.018	DNA-50
plate3cleanA1-A11	B1		Default	3/12/2021	5:31 PM	19.46	ng/ul	0.389	0.198	1.96	1.93	50.00	260	0.389	-0.003	DNA-50
plate3cleanA1-A11	C1		Default	3/12/2021	5:31 PM	9.885	ng/ul	0.198	0.098	2.02	1.92	50.00	260	0.198	0.022	DNA-50
plate3cleanA1-A11	D1		Default	3/12/2021	5:31 PM	9.851	ng/ul	0.197	0.108	1.82	1.76	50.00	260	0.197	0.019	DNA-50
plate3cleanA1-A11	E1		Default	3/12/2021	5:31 PM	11.80	ng/ul	0.236	0.119	1.98	1.82	50.00	260	0.236	-0.026	DNA-50
plate3cleanA1-A11	F1		Default	3/12/2021	5:31 PM	6.306	ng/ul	0.126	0.053	2.39	1.69	50.00	260	0.126	0.031	DNA-50
plate3cleanA1-A11	G1		Default	3/12/2021	5:31 PM	16.19	ng/ul	0.324	0.167	1.94	1.99	50.00	260	0.324	0.029	DNA-50
plate3cleanA1-A11	H1		Default	3/12/2021	5:31 PM	3.572	ng/ul	0.071	0.036	1.97	2.05	50.00	260	0.071	0.022	DNA-50
plate3cleanA1-A11	A11		Default	3/12/2021	5:36 PM	8.786	ng/ul	0.176	0.091	1.93	1.80	50.00	260	0.176	0.047	DNA-50
plate3cleanA1-A11	B11		Default	3/12/2021	5:36 PM	2.980	ng/ul	0.060	0.024	2.49	1.83	50.00	260	0.060	0.247	DNA-50
plate3cleanA1-A11	C11		Default	3/12/2021	5:36 PM	8.348	ng/ul	0.167	0.086	1.93	1.76	50.00	260	0.167	0.076	DNA-50
plate3cleanA1-A11	D11		Default	3/12/2021	5:36 PM	16.27	ng/ul	0.325	0.166	1.96	1.86	50.00	260	0.325	0.644	DNA-50
plate3cleanA1-A11	E11		Default	3/12/2021	5:36 PM	20.01	ng/ul	0.400	0.213	1.88	1.91	50.00	260	0.400	0.078	DNA-50
plate3cleanA1-A11	F11		Default	3/12/2021	5:36 PM	20.72	ng/ul	0.414	0.214	1.94	2.07	50.00	260	0.414	0.049	DNA-50
plate3cleanA1-A11	G11		Default	3/12/2021	5:36 PM	4.701	ng/ul	0.094	0.044	2.11	1.82	50.00	260	0.094	0.038	DNA-50
plate3cleanA1-A11	H11		Default	3/12/2021	5:36 PM	5.044	ng/ul	0.101	0.056	1.81	1.41	50.00	260	0.101	0.106	DNA-50
