source plate well,destination plate well,volume sample (µl),volume diluent (µl)
A1,A1,5.28,10.72
A2,A2,5.088360451,34.91163955
A3,A3,5.288241415,44.71175858
A4,A4,7.642105263,92.35789474
A5,A5,9.411111111,90.58888889
A6,A6,9.588679245,90.41132075
A7,A7,8.196774194,91.80322581
A8,A8,6.197560976,93.80243902
A9,A9,8.613559322,91.38644068
A10,A10,9.156756757,90.84324324
A11,A11,7.528888889,92.47111111
A12,A12,7.7,92.3
B01,B01,7.653614458,42.34638554
B02,B02,8.83826087,91.16173913
B03,B03,10.74418605,89.25581395
B04,B04,9.411111111,90.58888889
B05,B05,13.49800797,86.50199203
B06,B06,11.35642458,88.64357542
B07,B07,15.42336874,84.57663126
B08,B08,13.96153846,86.03846154
B09,B09,11.02386117,88.97613883
B10,B10,10.71022129,89.28977871
B11,B11,8.687179487,91.31282051
B12,B12,9.68,90.32
C1,C1,9.68,90.32
C2,C2,10.54356846,89.45643154
C3,C3,8.066666667,41.93333333
C4,C4,8.003149606,91.99685039
C5,C5,10.57648283,89.42351717
C6,C6,7.623,112.377
C7,C7,9.24,90.76
C8,C8,10.59854015,89.40145985
C9,C9,12.47116564,87.52883436
C10,C10,11.25581395,88.74418605
C11,C11,10.77836691,89.22163309
C12,C12,8.687179487,91.31282051
D1,D1,7.333333333,42.66666667
D2,D2,6.704485488,43.29551451
D3,D3,7.418978102,42.5810219
D4,D4,9.68,90.32
D5,D5,11.58950969,88.41049031
D6,D6,20,-20
D7,D7,7.21875,42.78125
D8,D8,7.92,112.08
D9,D9,12.0569395,87.9430605
D10,D10,10.08333333,39.91666667
D11,D11,5.895591647,44.10440835
D12,D12,5.615469613,44.38453039
E1,E1,6.243243243,43.75675676
E2,E2,7.418978102,92.5810219
E3,E3,12.61042184,87.38957816
E4,E4,7.225592417,142.7744076
E5,E5,10.23564955,89.76435045
E6,E6,7.879069767,92.12093023
E7,E7,6.686842105,93.31315789
E8,E8,8.541176471,91.45882353
E9,E9,12.9477707,87.0522293
E10,E10,7.642105263,92.35789474
E11,E11,8.331147541,91.66885246
E12,E12,8.915789474,91.08421053
F1,F1,17.22711864,82.77288136
F2,F2,7.157746479,92.84225352
F3,F3,7.157746479,92.84225352
F4,F4,13.552,86.448
F5,F5,16.91181364,83.08818636
F6,F6,9.324770642,90.67522936
F7,F7,11.21854305,88.78145695
F8,F8,8.915789474,91.08421053
F9,F9,16.96828047,83.03171953
F10,F10,11.29333333,88.70666667
F11,F11,16.13333333,83.86666667
F12,F12,20,-20
G1,G1,11.07189542,88.92810458
G2,G2,8.687179487,91.31282051
G3,G3,10.63179916,89.36820084
G4,G4,6.515384615,93.48461538
G5,G5,20,3
G6,G6,6.274074074,23.72592593
G7,G7,7.528888889,92.47111111
G8,G8,11.3818589,88.6181411
G9,G9,10.23564955,89.76435045
G10,G10,7.758778626,92.24122137
G11,G11,8.196774194,91.80322581
G12,G12,8.263414634,91.73658537
H1,H1,12.68913858,87.31086142
H2,H2,11.6559633,88.3440367
H3,H3,7.26,92.74
H4,H4,10.31878173,89.68121827
H5,H5,10.64293194,89.35706806
H6,H6,15.85647426,84.14352574
H7,H7,9.499065421,90.50093458
H8,H8,16.94,83.06
H9,H9,9.773076923,90.22692308
H10,H10,9.499065421,90.50093458
H11,H11,6.914285714,93.08571429
H12,H12,7.585074627,92.41492537
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
