Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
	A2		Default	2/25/2021	11:27 AM	9.504	ng/ul	0.238	0.143	1.67	2.51	40.00	260	0.238	0.337	RNA-40
	B2		Default	2/25/2021	11:27 AM	16.19	ng/ul	0.405	0.257	1.57	0.67	40.00	260	0.405	0.477	RNA-40
	C2		Default	2/25/2021	11:27 AM	5.133	ng/ul	0.128	0.066	1.95	1.06	40.00	260	0.128	0.129	RNA-40
	D2		Default	2/25/2021	11:27 AM	10.15	ng/ul	0.254	0.142	1.78	1.13	40.00	260	0.254	0.161	RNA-40
	E2		Default	2/25/2021	11:27 AM	6.127	ng/ul	0.153	0.089	1.71	0.98	40.00	260	0.153	0.191	RNA-40
	F2		Default	2/25/2021	11:27 AM	3.744	ng/ul	0.094	0.034	2.75	1.79	40.00	260	0.094	0.057	RNA-40
	G2		Default	2/25/2021	11:27 AM	14.57	ng/ul	0.364	0.192	1.90	1.18	40.00	260	0.364	0.136	RNA-40
	H2		Default	2/25/2021	11:27 AM	4.974	ng/ul	0.124	0.072	1.72	2.23	40.00	260	0.124	0.092	RNA-40
	A3		Default	2/25/2021	11:28 AM	64.85	ng/ul	1.621	1.049	1.55	0.76	40.00	260	1.621	4.127	RNA-40
	B3		Default	2/25/2021	11:28 AM	8.587	ng/ul	0.215	0.118	1.82	1.25	40.00	260	0.215	0.072	RNA-40
	C3		Default	2/25/2021	11:28 AM	11.73	ng/ul	0.293	0.155	1.89	1.45	40.00	260	0.293	0.110	RNA-40
	D3		Default	2/25/2021	11:28 AM	12.84	ng/ul	0.321	0.166	1.93	1.26	40.00	260	0.321	0.184	RNA-40
	E3		Default	2/25/2021	11:28 AM	7.114	ng/ul	0.178	0.113	1.58	0.86	40.00	260	0.178	0.516	RNA-40
	F3		Default	2/25/2021	11:28 AM	5.474	ng/ul	0.137	0.077	1.78	0.70	40.00	260	0.137	0.265	RNA-40
	G3		Default	2/25/2021	11:28 AM	3.776	ng/ul	0.094	0.053	1.77	1.57	40.00	260	0.094	0.109	RNA-40
	H3		Default	2/25/2021	11:28 AM	36.90	ng/ul	0.922	0.508	1.82	1.07	40.00	260	0.922	0.933	RNA-40
	A4		Default	2/25/2021	11:29 AM	23.80	ng/ul	0.595	0.335	1.77	1.47	40.00	260	0.595	0.334	RNA-40
	B4		Default	2/25/2021	11:29 AM	15.91	ng/ul	0.398	0.216	1.84	1.20	40.00	260	0.398	0.372	RNA-40
	C4		Default	2/25/2021	11:29 AM	14.81	ng/ul	0.370	0.181	2.05	1.00	40.00	260	0.370	2.026	RNA-40
	D4		Default	2/25/2021	11:29 AM	14.41	ng/ul	0.360	0.178	2.02	1.98	40.00	260	0.360	0.043	RNA-40
	E4		Default	2/25/2021	11:29 AM	19.35	ng/ul	0.484	0.262	1.85	1.04	40.00	260	0.484	0.225	RNA-40
	F4		Default	2/25/2021	11:29 AM	12.87	ng/ul	0.322	0.162	1.98	1.20	40.00	260	0.322	0.113	RNA-40
	G4		Default	2/25/2021	11:29 AM	9.245	ng/ul	0.231	0.130	1.78	1.67	40.00	260	0.231	0.104	RNA-40
	H4		Default	2/25/2021	11:29 AM	8.560	ng/ul	0.214	0.128	1.68	1.19	40.00	260	0.214	0.098	RNA-40
	A5		Default	2/25/2021	11:30 AM	20.62	ng/ul	0.515	0.253	2.04	3.36	40.00	260	0.515	0.148	RNA-40
	B5		Default	2/25/2021	11:30 AM	17.72	ng/ul	0.443	0.226	1.96	1.29	40.00	260	0.443	0.173	RNA-40
	C5		Default	2/25/2021	11:30 AM	30.94	ng/ul	0.773	0.379	2.04	1.81	40.00	260	0.773	0.134	RNA-40
	D5		Default	2/25/2021	11:30 AM	29.62	ng/ul	0.740	0.372	1.99	1.62	40.00	260	0.740	0.183	RNA-40
	E5		Default	2/25/2021	11:30 AM	22.81	ng/ul	0.570	0.295	1.94	1.18	40.00	260	0.570	0.218	RNA-40
	F5		Default	2/25/2021	11:30 AM	30.79	ng/ul	0.770	0.367	2.10	1.54	40.00	260	0.770	0.182	RNA-40
	G5		Default	2/25/2021	11:30 AM	11.24	ng/ul	0.281	0.137	2.06	1.50	40.00	260	0.281	0.099	RNA-40
	H5		Default	2/25/2021	11:30 AM	22.82	ng/ul	0.571	0.267	2.14	2.13	40.00	260	0.571	0.081	RNA-40
	A6		Default	2/25/2021	11:32 AM	12.80	ng/ul	0.320	0.183	1.75	2.03	40.00	260	0.320	0.174	RNA-40
	B6		Default	2/25/2021	11:32 AM	32.14	ng/ul	0.803	0.399	2.02	1.68	40.00	260	0.803	0.104	RNA-40
	C6		Default	2/25/2021	11:32 AM	16.28	ng/ul	0.407	0.218	1.86	1.44	40.00	260	0.407	0.564	RNA-40
	D6		Default	2/25/2021	11:32 AM	23.70	ng/ul	0.592	0.308	1.92	1.44	40.00	260	0.592	0.160	RNA-40
	E6		Default	2/25/2021	11:32 AM	36.36	ng/ul	0.909	0.448	2.03	1.76	40.00	260	0.909	0.148	RNA-40
	F6		Default	2/25/2021	11:32 AM	60.34	ng/ul	1.509	1.119	1.35	0.67	40.00	260	1.509	24.242	RNA-40
	G6		Default	2/25/2021	11:32 AM	17.86	ng/ul	0.446	0.211	2.12	1.86	40.00	260	0.446	0.095	RNA-40
	H6		Default	2/25/2021	11:32 AM	12.62	ng/ul	0.315	0.159	1.98	2.19	40.00	260	0.315	0.080	RNA-40
	A7		Default	2/25/2021	11:33 AM	23.30	ng/ul	0.583	0.328	1.78	1.11	40.00	260	0.583	0.423	RNA-40
	B7		Default	2/25/2021	11:33 AM	31.26	ng/ul	0.782	0.409	1.91	1.02	40.00	260	0.782	0.285	RNA-40
	C7		Default	2/25/2021	11:33 AM	26.73	ng/ul	0.668	0.371	1.80	0.87	40.00	260	0.668	0.329	RNA-40
	D7		Default	2/25/2021	11:33 AM	13.63	ng/ul	0.341	0.215	1.58	0.74	40.00	260	0.341	0.475	RNA-40
	E7		Default	2/25/2021	11:33 AM	24.64	ng/ul	0.616	0.318	1.94	1.16	40.00	260	0.616	0.172	RNA-40
	F7		Default	2/25/2021	11:33 AM	27.89	ng/ul	0.697	0.345	2.02	1.31	40.00	260	0.697	0.107	RNA-40
	G7		Default	2/25/2021	11:33 AM	31.56	ng/ul	0.789	0.388	2.04	1.54	40.00	260	0.789	0.210	RNA-40
	H7		Default	2/25/2021	11:33 AM	79.16	ng/ul	1.979	1.178	1.68	0.80	40.00	260	1.979	2.986	RNA-40
	A8		Default	2/25/2021	11:34 AM	13.81	ng/ul	0.345	0.167	2.07	3.71	40.00	260	0.345	0.067	RNA-40
	B8		Default	2/25/2021	11:34 AM	27.10	ng/ul	0.677	0.335	2.02	1.77	40.00	260	0.677	0.077	RNA-40
	C8		Default	2/25/2021	11:34 AM	13.40	ng/ul	0.335	0.181	1.85	1.14	40.00	260	0.335	0.222	RNA-40
	D8		Default	2/25/2021	11:34 AM	46.18	ng/ul	1.155	0.540	2.14	1.80	40.00	260	1.155	1.672	RNA-40
	E8		Default	2/25/2021	11:34 AM	29.45	ng/ul	0.736	0.352	2.09	1.51	40.00	260	0.736	8.462	RNA-40
	F8		Default	2/25/2021	11:34 AM	17.86	ng/ul	0.447	0.219	2.04	1.48	40.00	260	0.447	0.054	RNA-40
	G8		Default	2/25/2021	11:34 AM	22.74	ng/ul	0.568	0.282	2.01	1.41	40.00	260	0.568	0.118	RNA-40
	H8		Default	2/25/2021	11:34 AM	46.72	ng/ul	1.168	0.620	1.88	1.27	40.00	260	1.168	0.651	RNA-40
	A9		Default	2/25/2021	11:35 AM	42.65	ng/ul	1.066	0.535	1.99	1.58	40.00	260	1.066	0.514	RNA-40
	B9		Default	2/25/2021	11:35 AM	18.10	ng/ul	0.453	0.252	1.79	1.15	40.00	260	0.453	0.213	RNA-40
	C9		Default	2/25/2021	11:35 AM	10.14	ng/ul	0.253	0.128	1.99	1.64	40.00	260	0.253	0.125	RNA-40
	D9		Default	2/25/2021	11:35 AM	48.86	ng/ul	1.221	0.588	2.08	1.74	40.00	260	1.221	0.420	RNA-40
	E9		Default	2/25/2021	11:35 AM	18.68	ng/ul	0.467	0.255	1.83	1.17	40.00	260	0.467	0.230	RNA-40
	F9		Default	2/25/2021	11:35 AM	61.25	ng/ul	1.531	0.732	2.09	1.76	40.00	260	1.531	0.143	RNA-40
	G9		Default	2/25/2021	11:35 AM	23.66	ng/ul	0.591	0.289	2.05	1.33	40.00	260	0.591	0.430	RNA-40
	H9		Default	2/25/2021	11:35 AM	39.77	ng/ul	0.994	0.471	2.11	1.93	40.00	260	0.994	0.141	RNA-40
	A10		Default	2/25/2021	11:36 AM	79.39	ng/ul	1.985	1.184	1.68	0.88	40.00	260	1.985	3.893	RNA-40
	B10		Default	2/25/2021	11:36 AM	28.06	ng/ul	0.702	0.350	2.00	1.52	40.00	260	0.702	0.143	RNA-40
	C10		Default	2/25/2021	11:36 AM	34.67	ng/ul	0.867	0.429	2.02	1.77	40.00	260	0.867	0.156	RNA-40
	D10		Default	2/25/2021	11:36 AM	56.58	ng/ul	1.415	0.728	1.94	1.27	40.00	260	1.415	0.494	RNA-40
	E10		Default	2/25/2021	11:36 AM	50.26	ng/ul	1.257	0.602	2.09	1.84	40.00	260	1.257	0.167	RNA-40
	F10		Default	2/25/2021	11:36 AM	146.5	ng/ul	3.661	2.221	1.65	0.90	40.00	260	3.661	6.407	RNA-40
	G10		Default	2/25/2021	11:36 AM	24.02	ng/ul	0.601	0.292	2.06	1.50	40.00	260	0.601	0.140	RNA-40
	H10		Default	2/25/2021	11:36 AM	61.46	ng/ul	1.537	0.905	1.70	0.84	40.00	260	1.537	2.686	RNA-40
	A11		Default	2/25/2021	11:37 AM	65.85	ng/ul	1.646	0.953	1.73	0.89	40.00	260	1.646	2.734	RNA-40
	B11		Default	2/25/2021	11:37 AM	25.61	ng/ul	0.640	0.322	1.99	1.71	40.00	260	0.640	0.129	RNA-40
	C11		Default	2/25/2021	11:37 AM	28.08	ng/ul	0.702	0.354	1.98	1.54	40.00	260	0.702	0.198	RNA-40
