Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
Plate3_RNA_redoResistada	A1		Default	2/25/2021	6:28 PM	16.04	ng/ul	0.401	0.197	2.03	1.31	40.00	260	0.401	0.390	RNA-40
Plate3_RNA_redoResistada	A1		Default	2/25/2021	6:30 PM	13.83	ng/ul	0.346	0.140	2.47	1.39	40.00	260	0.346	0.360	RNA-40
Plate3_RNA_redoResistada	B1		Default	2/25/2021	6:30 PM	9.769	ng/ul	0.244	0.100	2.44	1.00	40.00	260	0.244	0.661	RNA-40
Plate3_RNA_redoResistada	C1		Default	2/25/2021	6:30 PM	29.04	ng/ul	0.726	0.351	2.07	1.26	40.00	260	0.726	0.604	RNA-40
Plate3_RNA_redoResistada	D1		Default	2/25/2021	6:30 PM	10.29	ng/ul	0.257	0.099	2.60	1.10	40.00	260	0.257	0.353	RNA-40
Plate3_RNA_redoResistada	E1		Default	2/25/2021	6:30 PM	21.80	ng/ul	0.545	0.287	1.90	0.76	40.00	260	0.545	0.976	RNA-40
Plate3_RNA_redoResistada	F1		Default	2/25/2021	6:30 PM	14.63	ng/ul	0.366	0.191	1.91	0.81	40.00	260	0.366	0.657	RNA-40
Plate3_RNA_redoResistada	G1		Default	2/25/2021	6:30 PM	5.113	ng/ul	0.128	0.021	6.13	2.17	40.00	260	0.128	0.087	RNA-40
Plate3_RNA_redoResistada	H1		Default	2/25/2021	6:30 PM	17.45	ng/ul	0.436	0.164	2.66	2.29	40.00	260	0.436	0.090	RNA-40
Plate3_RNA_redoResistada	A2		Default	2/25/2021	6:32 PM	9.284	ng/ul	0.232	0.080	2.91	1.70	40.00	260	0.232	0.194	RNA-40
Plate3_RNA_redoResistada	B2		Default	2/25/2021	6:32 PM	3.905	ng/ul	0.098	0.005	17.98	2.68	40.00	260	0.098	0.061	RNA-40
Plate3_RNA_redoResistada	C2		Default	2/25/2021	6:32 PM	18.84	ng/ul	0.471	0.219	2.15	0.82	40.00	260	0.471	1.567	RNA-40
Plate3_RNA_redoResistada	D2		Default	2/25/2021	6:32 PM	19.98	ng/ul	0.499	0.181	2.76	2.18	40.00	260	0.499	0.044	RNA-40
Plate3_RNA_redoResistada	E2		Default	2/25/2021	6:32 PM	16.23	ng/ul	0.406	0.148	2.74	2.36	40.00	260	0.406	0.067	RNA-40
Plate3_RNA_redoResistada	F2		Default	2/25/2021	6:32 PM	15.94	ng/ul	0.399	0.189	2.11	1.02	40.00	260	0.399	0.503	RNA-40
Plate3_RNA_redoResistada	G2		Default	2/25/2021	6:32 PM	20.43	ng/ul	0.511	0.210	2.43	1.98	40.00	260	0.511	0.137	RNA-40
Plate3_RNA_redoResistada	H2		Default	2/25/2021	6:32 PM	8.886	ng/ul	0.222	0.093	2.39	0.86	40.00	260	0.222	0.424	RNA-40
Plate3_RNA_redoResistada	A3		Default	2/25/2021	6:35 PM	55.87	ng/ul	1.397	0.835	1.67	0.71	40.00	260	1.397	2.271	RNA-40
Plate3_RNA_redoResistada	B3		Default	2/25/2021	6:35 PM	12.41	ng/ul	0.310	0.106	2.93	2.53	40.00	260	0.310	0.069	RNA-40
Plate3_RNA_redoResistada	C3		Default	2/25/2021	6:35 PM	20.54	ng/ul	0.514	0.207	2.48	2.30	40.00	260	0.514	0.031	RNA-40
Plate3_RNA_redoResistada	D3		Default	2/25/2021	6:35 PM	3.908	ng/ul	0.098	-0.004	-26.09	2.32	40.00	260	0.098	0.077	RNA-40
Plate3_RNA_redoResistada	E3		Default	2/25/2021	6:35 PM	6.685	ng/ul	0.167	0.046	3.60	2.15	40.00	260	0.167	0.064	RNA-40
Plate3_RNA_redoResistada	F3		Default	2/25/2021	6:35 PM	11.67	ng/ul	0.292	0.141	2.07	0.96	40.00	260	0.292	0.426	RNA-40
Plate3_RNA_redoResistada	G3		Default	2/25/2021	6:35 PM	14.42	ng/ul	0.360	0.133	2.71	2.42	40.00	260	0.360	0.078	RNA-40
Plate3_RNA_redoResistada	H3		Default	2/25/2021	6:35 PM	65.48	ng/ul	1.637	0.888	1.84	0.90	40.00	260	1.637	1.805	RNA-40
Plate3_RNA_redoResistada	A4		Default	2/25/2021	6:36 PM	10.86	ng/ul	0.272	0.083	3.29	2.62	40.00	260	0.272	0.142	RNA-40
Plate3_RNA_redoResistada	B4		Default	2/25/2021	6:36 PM	31.22	ng/ul	0.781	0.317	2.46	2.32	40.00	260	0.781	0.065	RNA-40
Plate3_RNA_redoResistada	C4		Default	2/25/2021	6:36 PM	17.72	ng/ul	0.443	0.177	2.50	1.56	40.00	260	0.443	0.063	RNA-40
Plate3_RNA_redoResistada	D4		Default	2/25/2021	6:36 PM	2.271	ng/ul	0.057	-0.018	-3.24	1.53	40.00	260	0.057	0.044	RNA-40
Plate3_RNA_redoResistada	E4		Default	2/25/2021	6:36 PM	9.473	ng/ul	0.237	0.085	2.78	1.91	40.00	260	0.237	0.055	RNA-40
Plate3_RNA_redoResistada	F4		Default	2/25/2021	6:36 PM	8.345	ng/ul	0.209	0.107	1.94	0.75	40.00	260	0.209	0.437	RNA-40
Plate3_RNA_redoResistada	G4		Default	2/25/2021	6:36 PM	6.032	ng/ul	0.151	0.040	3.80	0.27	40.00	260	0.151	0.180	RNA-40
Plate3_RNA_redoResistada	H4		Default	2/25/2021	6:36 PM	36.34	ng/ul	0.909	0.491	1.85	0.80	40.00	260	0.909	1.264	RNA-40
Plate3_RNA_redoResistada	A5		Default	2/25/2021	6:38 PM	18.34	ng/ul	0.459	0.171	2.68	2.13	40.00	260	0.459	0.061	RNA-40
Plate3_RNA_redoResistada	B5		Default	2/25/2021	6:38 PM	3.322	ng/ul	0.083	-0.010	-8.52	1.70	40.00	260	0.083	0.059	RNA-40
Plate3_RNA_redoResistada	C5		Default	2/25/2021	6:38 PM	5.438	ng/ul	0.136	0.036	3.75	1.54	40.00	260	0.136	0.048	RNA-40
Plate3_RNA_redoResistada	D5		Default	2/25/2021	6:38 PM	1.293	ng/ul	0.032	-0.029	-1.12	1.55	40.00	260	0.032	0.059	RNA-40
Plate3_RNA_redoResistada	E5		Default	2/25/2021	6:38 PM	10.61	ng/ul	0.265	0.091	2.93	2.00	40.00	260	0.265	0.046	RNA-40
Plate3_RNA_redoResistada	F5		Default	2/25/2021	6:38 PM	15.77	ng/ul	0.394	0.160	2.47	1.66	40.00	260	0.394	0.113	RNA-40
Plate3_RNA_redoResistada	G5		Default	2/25/2021	6:38 PM	4.185	ng/ul	0.105	0.011	9.77	2.50	40.00	260	0.105	0.056	RNA-40
Plate3_RNA_redoResistada	H5		Default	2/25/2021	6:38 PM	14.33	ng/ul	0.358	0.138	2.59	2.02	40.00	260	0.358	0.166	RNA-40
Plate3_RNA_redoResistada	A6		Default	2/25/2021	6:39 PM	2.622	ng/ul	0.066	-0.009	-7.69	8.33	40.00	260	0.066	0.041	RNA-40
