Time,Untitled 16,Untitled 17,Untitled 18,Flow,Set_to_(mL/min),Time0,Flow_decline,Duration_minutes,Duration_hours,New_set,u mol added,U mol loss ,u mol net,Concentration Increment,Tank concentration 
2/7/2020 14:40:11.422,-0.041999,0,3991.271048,144,150,0:00:00,-6,0,0,yes,1500.0,0.0,1500.0,10.0,
2/7/2020 14:45:09.068,-0.041927,0,499.514073,144,150,0:04:58,-6,5,0.083333333333333,,0.0,-7.2,1492.8,10.0,
2/7/2020 14:50:07.297,-0.041865,0,497.051284,144,150,0:09:56,-6,10,0.166666666666667,,0.0,-7.2,1485.6,9.9,
2/7/2020 14:55:08.423,-0.039301,0,493.802532,144,150,0:14:57,-6,15,0.25,,22.5,-7.1,1501.0,10.0,
2/7/2020 15:00:10.778,-0.041451,0,504.749447,126,150,0:19:59,-24,20,0.333333333333333,,0.0,-6.3,1494.7,10.0,
2/7/2020 15:05:06.406,-0.042156,0,3981.850981,126,150,0:24:55,-24,25,0.416666666666667,,0.0,-6.3,1488.4,9.9,
2/7/2020 15:10:06.835,-0.029014,0,3978.216215,126,150,0:29:55,-24,30,0.5,,22.5,-6.3,1504.7,10.0,
2/7/2020 15:15:08.779,-0.04211,0,501.452342,126,150,0:34:57,-24,35,0.583333333333333,,0.0,-6.3,1498.4,10.0,
2/7/2020 15:20:11.836,-0.03283,0,503.679916,126,150,0:40:00,-24,40,0.666666666666667,,0.0,-6.3,1492.1,9.9,
2/7/2020 15:25:08.151,-0.042084,0,503.799573,126,150,0:44:57,-24,45,0.75,,22.5,-6.3,1508.3,10.1,
2/7/2020 15:30:09.869,-0.041494,0,502.431721,108,150,0:49:58,-42,50,0.833333333333333,,0.0,-5.4,1502.9,10.0,
2/7/2020 15:35:11.341,-0.04212,0,501.194999,90,150,0:55:00,-60,55,0.916666666666667,,0.0,-4.5,1498.4,10.0,
2/7/2020 15:40:12.089,-0.042012,0,504.521609,90,150,1:00:01,-60,60,1,,22.5,-4.5,1516.4,10.1,
2/7/2020 15:45:07.171,-0.041851,0,503.171787,90,150,1:04:56,-60,65,1.08333333333333,,0.0,-4.5,1511.8,10.1,
2/7/2020 15:50:07.057,-0.041432,0,502.18913,90,150,1:09:56,-60,70,1.16666666666667,,0.0,-4.5,1507.3,10.0,
2/7/2020 15:55:07.971,-0.042035,0,505.34609,90,150,1:14:57,-60,75,1.25,,22.5,-4.5,1525.3,10.2,
2/7/2020 16:00:06.125,-0.041687,0,498.011812,72,150,1:19:55,-78,80,1.33333333333333,,0.0,-3.7,1521.6,10.1,
2/7/2020 16:05:08.172,-0.038183,0,497.687265,72,150,1:24:57,-78,85,1.41666666666667,,0.0,-3.7,1517.9,10.1,
2/7/2020 16:10:07.567,-0.041533,0,500.731945,72,150,1:29:56,-78,90,1.5,,22.5,-3.6,1536.8,10.2,
2/7/2020 16:15:12.284,-0.041917,0,502.065376,90,150,1:35:01,-60,95,1.58333333333333,,0.0,-4.6,1532.2,10.2,
2/7/2020 16:20:07.157,-0.041891,0,504.803539,72,150,1:39:56,-78,100,1.66666666666667,,0.0,-3.7,1528.5,10.2,
2/7/2020 16:25:12.344,-0.042196,0,505.200208,72,150,1:45:01,-78,105,1.75,,22.5,-3.7,1547.3,10.3,
2/7/2020 16:30:12.035,-0.041887,0,500.519678,72,150,1:50:01,-78,110,1.83333333333333,,0.0,-3.7,1543.6,10.3,
2/7/2020 16:35:11.667,-0.039973,0,504.723221,72,150,1:55:00,-78,115,1.91666666666667,,0.0,-3.7,1539.9,10.3,
2/7/2020 16:40:12.145,-0.04191,0,497.755289,72,150,2:00:01,-78,120,2,,22.5,-3.7,1558.7,10.4,
2/7/2020 16:45:08.195,-0.04134,0.288174,495.269552,90,150,2:04:57,-60,125,2.08333333333333,,0.0,-4.7,1554.0,10.4,
2/7/2020 16:50:09.360,-0.041946,1.053975,498.156056,72,150,2:09:58,-78,130,2.16666666666667,,0.0,-3.7,1550.3,10.3,
2/7/2020 16:55:08.569,-0.032174,0.448809,500.757352,72,150,2:14:57,-78,135,2.25,,22.5,-3.7,1569.1,10.5,
2/7/2020 17:00:08.572,0.112623,0,504.438013,72,150,2:19:57,-78,140,2.33333333333333,,0.0,-3.8,1565.3,10.4,
2/7/2020 17:05:10.432,-0.038147,0,504.774034,72,150,2:24:59,-78,145,2.41666666666667,,0.0,-3.8,1561.6,10.4,
2/7/2020 17:10:10.930,-0.04152,0.642094,502.475977,72,150,2:30:00,-78,150,2.5,,22.5,-3.7,1580.3,10.5,
2/7/2020 17:15:09.757,-0.041625,0.442776,498.792037,72,150,2:34:58,-78,155,2.58333333333333,,0.0,-3.8,1576.5,10.5,
2/7/2020 17:20:11.683,-0.041776,1.996013,502.842322,72,150,2:40:00,-78,160,2.66666666666667,,0.0,-3.8,1572.8,10.5,
2/7/2020 17:25:12.834,0.820779,1.074824,499.51899,72,150,2:45:01,-78,165,2.75,,22.5,-3.8,1591.5,10.6,
2/7/2020 17:30:08.356,-0.007161,1.876029,504.400313,72,150,2:49:57,-78,170,2.83333333333333,,0.0,-3.8,1587.7,10.6,
2/7/2020 17:35:07.240,-0.034688,0.616851,497.474179,72,150,2:54:56,-78,175,2.91666666666667,,0.0,-3.8,1583.8,10.6,
2/7/2020 17:40:06.786,-0.027725,0.403437,503.298819,72,150,2:59:55,-78,180,3,,22.5,-3.8,1602.5,10.7,
2/7/2020 17:45:08.889,-0.038776,0.193301,502.802983,72,150,3:04:57,-78,185,3.08333333333333,,0.0,-3.8,1598.7,10.7,
2/7/2020 17:50:10.917,1.192405,0.484082,503.565178,72,150,3:09:59,-78,190,3.16666666666667,,0.0,-3.8,1594.9,10.6,
2/7/2020 17:55:11.734,0.049399,1.143339,501.880974,72,150,3:15:00,-78,195,3.25,,22.5,-3.8,1613.5,10.8,
2/7/2020 18:00:07.140,0.797523,0.147995,498.310953,54,150,3:19:56,-96,200,3.33333333333333,,0.0,-2.9,1610.6,10.7,
2/7/2020 18:05:08.648,-0.04137,0.485983,504.338026,54,150,3:24:57,-96,205,3.41666666666667,,0.0,-2.9,1607.7,10.7,
