Sample ID,Date,Hour,Tank,Sample,Treatment,sample,NH4,Si(uM),NO2(uM),N+N(uM),NO3(uM),PO4(uM)
1_3,09-14-2020,08:40:00,3,1,NH4,Chl,8.979,,,,,
1_4,09-14-2020,08:40:00,4,1,NH4,Chl,9.207,,,,,
1_7,09-14-2020,08:40:00,7,1,NH4,Chl,8.772,,,,,
1_8,09-14-2020,08:40:00,8,1,NH4,Chl,8.946,,,,,
2_3,09-14-2020,15:22:00,3,2,NH4,Chl,5.842,,,,,
2_4,09-14-2020,15:22:00,4,2,NH4,Chl,6.535,,,,,
2_7,09-14-2020,15:22:00,7,2,NH4,Chl,4.916,,,,,
2_8,09-14-2020,15:22:00,8,2,NH4,Chl,4.264,,,,,
3_3,09-14-2020,19:30:00,3,3,NH4,Chl,10.793,,,,,
3_4,09-14-2020,19:30:00,4,3,NH4,Chl,11.155,,,,,
3_7,09-14-2020,19:30:00,7,3,NH4,Chl,10.142,,,,,
3_8,09-14-2020,19:30:00,8,3,NH4,Chl,10.682,,,,,
4_3,09-15-2020,19:00:00,3,4,NH4,Chl,3.587,,,,,
4_4,09-15-2020,19:00:00,4,4,NH4,Chl,4.001,,,,,
4_7,09-15-2020,19:00:00,7,4,NH4,Chl,3.408,,,,,
4_8,09-15-2020,19:00:00,8,4,NH4,Chl,1.387,,,,,
5_3,09-16-2020,14:00:00,3,5,NH4,Chl,4.89,,,,,
5_4,09-16-2020,14:00:00,4,5,NH4,Chl,3.675,,,,,
5_7,09-16-2020,14:00:00,7,5,NH4,Chl,4.661,,,,,
5_8,09-16-2020,14:00:00,8,5,NH4,Chl,3.318,,,,,
6_3,09-16-2020,17:00:00,3,6,NH4,Chl,10.791,,,,,
6_4,09-16-2020,17:00:00,4,6,NH4,Chl,11.406,,,,,
6_7,09-16-2020,17:00:00,7,6,NH4,Chl,10.717,,,,,
6_8,09-16-2020,17:00:00,8,6,NH4,Chl,11.095,,,,,
7_3,09-17-2020,08:05:00,3,7,NH4,Chl,9.226,,,,,
7_4,09-17-2020,08:05:00,4,7,NH4,Chl,9.121,,,,,
7_7,09-17-2020,08:05:00,7,7,NH4,Chl,8.529,,,,,
7_8,09-17-2020,08:05:00,8,7,NH4,Chl,8.69,,,,,
7_1,09-17-2020,08:05:00,1,7,Ambient,Chl,0.417,,,,,
7_2,09-17-2020,08:05:00,2,7,Ambient,Chl,0.406,,,,,
7_5,09-17-2020,08:05:00,5,7,Ambient,Chl,0.269,,,,,
7_6,09-17-2020,08:05:00,6,7,Ambient,Chl,0.242,,,,,
8_3,09-17-2020,16:30:00,3,8,NH4,Chl,7.654,,,,,
