Date,Hour,Precipitation
2020-08-01,11:59:59 PM,0.89
2020-08-02,11:59:59 PM,1.42
2020-08-03,11:59:59 PM,0.33
2020-08-04,11:59:59 PM,0.07
2020-08-05,11:59:59 PM,0.27
2020-08-06,11:59:59 PM,0.27
2020-08-07,11:59:59 PM,0
2020-08-08,11:59:59 PM,0.02
2020-08-09,11:59:59 PM,0
2020-08-10,11:59:59 PM,0
2020-08-11,11:59:59 PM,0.01
2020-08-12,11:59:59 PM,0.58
2020-08-13,11:59:59 PM,0.15
2020-08-14,11:59:59 PM,NA
2020-08-15,11:59:59 PM,0.46
2020-08-16,11:59:59 PM,0.01
2020-08-17,11:59:59 PM,NA
2020-08-18,11:59:59 PM,0
2020-08-19,11:59:59 PM,0.37
2020-08-20,11:59:59 PM,0.54
2020-08-21,11:59:59 PM,0
2020-08-22,11:59:59 PM,0.37
2020-08-23,11:59:59 PM,0.19
2020-08-24,11:59:59 PM,0.18
2020-08-25,11:59:59 PM,0.11
2020-08-26,11:59:59 PM,0.05
2020-08-27,11:59:59 PM,0
2020-08-28,11:59:59 PM,0
2020-08-29,11:59:59 PM,0.6
2020-08-30,11:59:59 PM,0.07
2020-08-31,11:59:59 PM,0.48
2020-09-01,11:59:59 PM,0
2020-09-02,11:59:59 PM,NA
2020-09-03,11:59:59 PM,0
2020-09-04,11:59:59 PM,NA
2020-09-05,11:59:59 PM,NA
2020-09-06,11:59:59 PM,0.28
2020-09-07,11:59:59 PM,0.5
2020-09-08,11:59:59 PM,0.1
2020-09-09,11:59:59 PM,0.79
2020-09-10,11:59:59 PM,0.23
2020-09-11,11:59:59 PM,0.02
2020-09-12,11:59:59 PM,1.75
2020-09-13,11:59:59 PM,1.58
2020-09-14,11:59:59 PM,NA
2020-09-15,11:59:59 PM,0
2020-09-16,11:59:59 PM,0.01
2020-09-17,11:59:59 PM,0.01
2020-09-18,11:59:59 PM,0
2020-09-19,11:59:59 PM,NA
2020-09-20,11:59:59 PM,NA
2020-09-21,11:59:59 PM,1.16
2020-09-22,11:59:59 PM,NA
2020-09-23,11:59:59 PM,0
2020-09-24,11:59:59 PM,2.07
2020-09-25,11:59:59 PM,0.22
2020-09-26,11:59:59 PM,1.89
2020-09-27,11:59:59 PM,0.07
2020-09-28,11:59:59 PM,0.24
2020-09-29,11:59:59 PM,0
2020-09-30,11:59:59 PM,0
2020-10-01,11:59:59 PM,0.32
2020-10-02,11:59:59 PM,2.21
2020-10-03,11:59:59 PM,0.33
2020-10-04,11:59:59 PM,NA
2020-10-05,11:59:59 PM,0.04
2020-10-06,11:59:59 PM,0.08
2020-10-07,11:59:59 PM,NA
2020-10-08,11:59:59 PM,NA
2020-10-09,11:59:59 PM,0.07
2020-10-10,11:59:59 PM,0.04
2020-10-11,11:59:59 PM,NA
2020-10-12,11:59:59 PM,0.01
2020-10-13,11:59:59 PM,0
2020-10-14,11:59:59 PM,0.26
2020-10-15,11:59:59 PM,0.04
2020-10-16,11:59:59 PM,1.32
2020-10-17,11:59:59 PM,0.01
2020-10-18,11:59:59 PM,0
2020-10-19,11:59:59 PM,0.43
2020-10-20,11:59:59 PM,1.31
2020-10-21,11:59:59 PM,2.49
2020-10-22,11:59:59 PM,0.27
2020-10-23,11:59:59 PM,NA
2020-10-24,11:59:59 PM,0.92
2020-10-25,11:59:59 PM,0.71
2020-10-26,11:59:59 PM,NA
2020-10-27,11:59:59 PM,0
2020-10-28,11:59:59 PM,NA
2020-10-29,11:59:59 PM,0.01
2020-10-30,11:59:59 PM,0.6
2020-10-31,11:59:59 PM,0.39
2020-11-01,11:59:59 PM,0.06
2020-11-02,11:59:59 PM,0
2020-11-03,11:59:59 PM,0
2020-11-04,11:59:59 PM,NA
2020-11-05,11:59:59 PM,0.68
2020-11-06,11:59:59 PM,0.11
2020-11-07,11:59:59 PM,0.57
2020-11-08,11:59:59 PM,2.83
2020-11-09,11:59:59 PM,2.57
2020-11-10,11:59:59 PM,0.04
2020-11-11,11:59:59 PM,0.22
