Date,,Tank,Salinity,Notes
2020-09-27,12:00,1,32.1,Guessed hour
2020-09-27,12:00,2,32.2,Guessed hour
2020-09-27,12:00,3,32.1,Guessed hour
2020-09-27,12:00,4,32.1,Guessed hour
2020-09-27,12:00,5,32.3,Guessed hour
2020-09-27,12:00,6,32.1,Guessed hour
2020-09-27,12:00,7,32.1,Guessed hour
2020-09-27,12:00,8,32.1,Guessed hour
2020-10-03,12:00,1,32,Guessed hour
2020-10-03,12:00,2,32.1,Guessed hour
2020-10-03,12:00,3,31.9,Guessed hour
2020-10-03,12:00,4,31.9,Guessed hour
2020-10-03,12:00,5,32.1,Guessed hour
2020-10-03,12:00,6,32.2,Guessed hour
2020-10-03,12:00,7,31.9,Guessed hour
2020-10-03,12:00,8,31.9,Guessed hour
2020-10-03,,VAT,31.8,Guessed hour
2020-10-04,12:00,1,31.8,Guessed hour
2020-10-04,12:00,2,31.8,Guessed hour
2020-10-04,12:00,3,31.9,Guessed hour
2020-10-04,12:00,4,32,Guessed hour
2020-10-04,12:00,5,31.9,Guessed hour
2020-10-04,12:00,6,31.9,Guessed hour
2020-10-04,12:00,7,32,Guessed hour
2020-10-04,12:00,8,32,Guessed hour
2020-10-04,,VAT,31.2,Guessed hour
2020-10-05,12:00,1,31.7,Guessed hour
2020-10-05,12:00,2,31.8,Guessed hour
2020-10-05,12:00,3,31.6,Guessed hour
2020-10-05,12:00,4,31.6,Guessed hour
2020-10-05,12:00,5,31.8,Guessed hour
2020-10-05,12:00,6,31.8,Guessed hour
2020-10-05,12:00,7,31.7,Guessed hour
2020-10-05,12:00,8,31.7,Guessed hour
2020-10-06,14:36,1,31.8,
2020-10-06,14:36,2,31.9,
2020-10-06,14:36,3,31.6,
2020-10-06,14:36,4,31.6,
2020-10-06,14:36,5,31.9,
2020-10-06,14:36,6,31.9,
2020-10-06,14:36,7,31.7,
2020-10-06,14:36,8,31.6,
2020-10-07,13:45,1,32,
2020-10-07,13:45,2,32,
2020-10-07,13:45,3,31.7,
2020-10-07,13:45,4,31.8,
2020-10-07,13:45,5,32.1,
2020-10-07,13:45,6,32,
2020-10-07,13:45,7,31.8,
2020-10-07,13:45,8,31.8,
2020-10-07,13:45,VAT,31.2,
2020-10-08,13:00,1,32.1,
2020-10-08,13:00,2,32.1,
2020-10-08,13:00,3,31.8,
2020-10-08,13:00,4,31.8,
2020-10-08,13:00,5,32.2,
2020-10-08,13:00,6,32.1,
2020-10-08,13:00,7,31.8,
2020-10-08,13:00,8,31.8,
2020-10-08,13:00,VAT,31.1,
2020-10-09,16:30,1,31.7,
2020-10-09,16:30,2,31.7,
2020-10-09,16:30,3,31.6,
2020-10-09,16:30,4,31.6,
