Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Salinity,Untitled 5,Untitled 6,Untitled 7,,
08/19/2020 08:55:00,2.598773,200.4241,152.5383,54.86276,33.05622,30.65032,29.40907,-8.34214,,
08/19/2020 09:00:00,2.60115,200.1209,151.9062,54.25224,32.13905,30.74055,30.16173,-7.70662,,
08/19/2020 09:05:00,2.580414,201.2393,155.8421,55.58802,32.93376,29.97774,30.30324,-4.22154,,
08/19/2020 09:10:00,2.589594,199.4859,150.1882,54.50218,31.8983,31.04403,30.78109,-7.56312,,
08/19/2020 09:15:00,2.586069,198.7404,151.6633,53.07626,31.52804,30.41656,29.89922,-8.50614,,
08/19/2020 09:20:00,2.577955,197.6711,149.5593,52.09286,30.52329,30.70364,30.455,-11.0892,,
08/19/2020 09:25:00,2.583856,198.6543,152.6188,53.71956,32.34251,30.12743,29.32088,-11.4582,,
08/19/2020 09:30:00,2.609428,199.6621,150.4736,54.29321,31.72121,31.01328,30.84261,-11.1917,,
08/19/2020 09:35:00,2.608936,199.6129,153.0894,54.35058,31.8546,30.26892,30.69495,-11.4377,,
08/19/2020 09:40:00,2.573693,198.6789,154.6776,54.07604,32.15465,29.57378,29.96075,-10.0642,,
08/19/2020 09:45:00,2.585004,200.2151,150.5593,54.72345,32.19985,31.14656,30.54319,-10.4537,,
08/19/2020 09:50:00,2.56771,200.5838,151.3871,55.02666,32.65219,31.01738,30.16583,-11.1507,,
08/19/2020 09:55:00,2.574759,198.7158,152.2956,53.79742,32.02281,30.23406,29.87871,-11.0072,,
08/19/2020 10:00:00,2.624345,199.5883,151.1035,53.51059,31.13564,30.81437,30.95746,-5.90258,,
08/19/2020 10:05:00,2.597708,200.2725,153.2366,54.85047,32.73198,30.41451,29.87256,-5.28756,,
08/19/2020 10:10:00,2.593036,199.5023,153.2893,54.12521,31.52279,30.18279,30.98002,-9.08015,,
08/19/2020 10:15:00,2.289947,199.1254,147.7797,53.95722,31.57473,31.6346,30.72776,-9.79767,,
