"","T_Type","Tag","T_AW","T_BW","Temperature","Salinity","X","SW_den"
"1","B","A001",16.3913,2.3292,23.38,33.2,"",1.02246152399242
"2","B","A002",16.3504,2.3248,23.82,33.2,"",1.02233372059341
"3","B","A003",16.3417,2.3052,23.87,33.2,"",1.02231909944867
"4","B","A004",16.3112,2.3137,23.88,33.2,"",1.02231617282503
"5","B","A005",16.3054,2.2924,23.88,33.2,"",1.02231617282503
"6","B","A006",16.2875,2.2981,23.89,33.2,"",1.02231324540344
"7","B","A007",16.2807,2.2974,23.36,33.2,"",1.02246729633068
"8","B","A008",16.2872,2.2977,23.37,33.2,"",1.02246441056363
"9","B","A009",16.2855,2.2995,23.37,33.2,"",1.02246441056363
"10","B","A010",16.3144,2.3052,23.36,33.2,"",1.02246729633068
"11","B","A011",16.3744,2.3142,23.35,33.2,"",1.02247018129343
"12","B","A012",16.3112,2.2826,23.33,33.2,"",1.02247594880557
"13","B","A013",16.3334,2.2844,23.41,33.2,"",1.02245285945501
"14","B","A014",16.3335,2.2962,23.4,33.2,"",1.02245574843799
"15","B","A015",16.3229,2.2972,23.42,33.2,"",1.02244996966836
"16","B","A016",16.2404,2.2835,23.43,33.2,"",1.02244707907815
"17","B","A017",16.3046,2.3021,23.47,33.2,"",1.02243550868425
"18","B","A018",16.2876,2.2663,23.48,33.2,"",1.02243261407812
"19","B","A019",16.2996,2.3006,23.52,33.2,"",1.02242102762666
"20","B","A020",16.1046,2.2667,23.54,33.2,"",1.02241522958647
"21","B","A021",16.4034,2.2743,23.61,33.2,"",1.02239491118665
"22","B","A022",16.3781,2.3048,23.59,33.2,"",1.02240072045171
"23","B","A023",16.3576,2.2813,23.59,33.2,"",1.02240072045171
"24","B","A024",16.3401,2.2924,23.6,33.2,"",1.02239781621985
"25","B","A025",16.3312,2.2972,23.61,33.2,"",1.02239491118665
"26","B","A026",16.3194,2.2976,23.59,33.2,"",1.02240072045171
"27","B","A027",16.3061,2.2971,23.59,33.2,"",1.02240072045171
"28","B","A028",16.3262,2.2864,23.61,33.2,"",1.02239491118665
"29","B","A029",16.3167,2.2864,23.61,33.2,"",1.02239491118665
"30","B","A030",16.3622,2.3092,23.63,33.2,"",1.02238909871668
"31","B","A031",16.3933,2.2969,23.62,33.2,"",1.02239200535221
"32","B","A032",16.3161,2.2064,23.62,33.2,"",1.02239200535221
"33","B","A033",16.3738,2.3086,23.63,33.2,"",1.02238909871668
"34","B","A034",16.271,2.2526,23.62,33.2,"",1.02239200535221
"35","B","A035",16.3326,2.2594,23.64,33.2,"",1.02238619128015
"36","B","A036",16.2262,2.2521,23.65,33.2,"",1.02238328304277
"37","B","A037",16.3094,2.2937,23.66,33.2,"",1.02238037400465
"38","B","A038",16.2364,2.2801,23.69,33.2,"",1.02237164208706
"39","B","A039",16.3086,2.3001,23.69,33.2,"",1.02237164208706
"40","B","A040",16.1074,2.2585,27.88,33.2,"",1.0210827836308
"41","B","A041",16.3979,2.3204,27.75,33.2,"",1.02112479915869
"42","B","A042",16.3664,2.3008,27.76,33.2,"",1.02112157171151
"43","B","A043",16.3541,2.3043,27.76,33.2,"",1.02112157171151
"44","B","A044",16.3416,2.2932,27.68,33.2,"",1.02114737019107
"45","B","A045",16.3364,2.2859,27.67,33.2,"",1.02115059160894
"46","B","A046",16.3227,2.2688,27.67,33.2,"",1.02115059160894
"47","B","A047",16.3112,2.2956,27.67,33.2,"",1.02115059160894
"48","B","A048",16.3205,2.3024,27.62,33.2,"",1.02116668738354
"49","B","A049",16.2966,2.2897,27.61,33.2,"",1.02116990427473
"50","B","A050",16.3428,2.3021,27.62,33.2,"",1.02116668738354
"51","B","A051",16.2815,2.2853,27.6,33.2,"",1.02117312041107
"52","B","A052",16.294,2.2726,27.58,33.2,"",1.0211795504188
"53","B","A053",16.2529,2.2872,27.58,33.2,"",1.0211795504188
"54","B","A054",16.2688,2.262,27.58,33.2,"",1.0211795504188
"55","B","A055",16.2346,2.278,27.56,33.2,"",1.02118597740582
"56","B","A056",16.2122,2.2775,27.54,33.2,"",1.02119240137124
"57","B","A057",16.2109,2.2843,27.55,33.2,"",1.02118918976629
"58","B","A058",16.2187,2.2861,27.53,33.2,"",1.02119561222057
"59","B","A059",16.2071,2.2877,27.53,33.2,"",1.02119561222057
"60","B","A060",16.0844,2.2345,27.47,33.2,"",1.02121486144218
"61","B","A061",16.3724,2.3023,27.46,33.2,"",1.02121806699901
"62","B","A062",16.3377,2.3046,27.44,33.2,"",1.02122447584298
"63","B","A063",16.3206,2.2897,27.26,33.2,"",1.02128201911689
"64","B","A064",16.3188,2.2904,27.25,33.2,"",1.02128520876321
"65","B","A065",16.3033,2.2792,27.25,33.2,"",1.02128520876321
"66","B","A066",16.2948,2.2933,27.24,33.2,"",1.02128839765065
"67","B","A067",16.2776,2.2546,27.23,33.2,"",1.02129158577909
"68","B","A068",16.2895,2.2946,27.23,33.2,"",1.02129158577909
"69","B","A069",16.2686,2.2967,27.22,33.2,"",1.02129477314844
"70","B","A070",16.2986,2.2718,27.21,33.2,"",1.02129795975857
"71","B","A071",16.3416,2.2825,27.2,33.2,"",1.02130114560937
"72","B","A072",16.3018,2.2965,27.09,33.2,"",1.02133613982034
"73","B","A073",16.3094,2.2829,27.09,33.2,"",1.02133613982034
"74","B","A074",16.2926,2.2976,27.1,33.2,"",1.02133296232957
"75","B","A075",16.2848,2.2921,27.09,33.2,"",1.02133613982034
"76","B","A076",16.2678,2.2641,27.06,33.2,"",1.02134566772811
"77","B","A077",16.2625,2.3016,27.05,33.2,"",1.02134884217548
"78","B","A078",16.2469,2.2904,27.05,33.2,"",1.02134884217548
"79","B","A079",16.2552,2.2704,27.04,33.2,"",1.02135201586173
"80","B","A080",16.1561,2.2786,26.99,33.2,"",1.02136787287207
"81","B","A081",16.3654,2.3131,26.99,33.2,"",1.02136787287207
"82","B","A082",16.3215,2.3006,26.99,33.2,"",1.02136787287207
"83","B","A083",16.3148,2.2679,26.98,33.2,"",1.02137104198917
"84","B","A084",16.3034,2.2596,26.97,33.2,"",1.02137421034436
"85","B","A085",16.2972,2.2847,26.96,33.2,"",1.02137737793751
"86","B","A086",16.2806,2.1849,26.96,33.2,"",1.02137737793751
"87","B","A087",16.2554,2.2897,26.96,33.2,"",1.02137737793751
"88","B","A088",16.2657,2.2959,26.95,33.2,"",1.02138054476852
"89","B","A089",16.2564,2.2944,26.95,33.2,"",1.02138054476852
"90","B","A090",16.2638,2.2996,26.95,33.2,"",1.02138054476852
"91","B","A091",16.3686,2.3109,26.94,33.2,"",1.02138371083728
"92","B","A092",16.3248,2.2956,26.93,33.2,"",1.02138687614366
"93","B","A093",16.3161,2.2963,26.93,33.2,"",1.02138687614366
"94","B","A094",16.3017,2.2977,26.91,33.2,"",1.02139320446888
"95","B","A095",16.3016,2.2939,26.9,33.2,"",1.02139636748748
"96","B","A096",16.2655,2.2689,26.89,33.2,"",1.02139952974326
"97","B","A097",16.2566,2.286,26.89,33.2,"",1.02139952974326
"98","B","A098",16.2704,2.2974,26.9,33.2,"",1.02139636748748
"99","B","A099",16.2492,2.2453,26.88,33.2,"",1.0214026912361
"100","B","A100",16.2432,2.236,26.85,33.2,"",1.02141217113591
"101","B","A101",16.3539,2.3102,26.85,33.2,"",1.02141217113591
"102","B","A103",16.3451,2.3028,26.84,33.2,"",1.0214153295759
"103","B","A102",16.3428,2.3049,26.85,33.2,"",1.02141217113591
"104","B","A104",16.3524,2.3123,26.85,33.2,"",1.02141217113591
"105","B","A105",16.3451,2.3097,26.84,33.2,"",1.0214153295759
"106","B","A106",16.3779,2.2156,26.84,33.2,"",1.0214153295759
"107","B","A107",16.3823,2.2906,26.83,33.2,"",1.02141848725238
"108","B","A108",16.4113,2.3188,26.82,33.2,"",1.02142164416526
"109","B","A109",16.4256,2.3066,26.81,33.2,"",1.02142480031441
"110","B","A110",16.4822,2.3335,26.82,33.2,"",1.02142164416526
"111","B","A111",16.3044,2.3107,26.81,33.2,"",1.02142480031441
"112","B","A112",16.2513,2.3038,26.8,33.2,"",1.02142795569972
"113","B","A113",16.3158,2.3015,26.8,33.2,"",1.02142795569972
"114","B","A114",16.3108,2.2865,26.79,33.2,"",1.02143111032108
"115","B","A115",16.33,2.3081,26.79,33.2,"",1.02143111032108
"116","B","A116",16.3438,2.2747,26.79,33.2,"",1.02143111032108
"117","B","A117",16.3447,2.3108,26.77,33.2,"",1.02143741727151
"118","B","A118",16.3776,2.3079,26.77,33.2,"",1.02143741727151
"119","B","A119",16.3815,2.3042,26.76,33.2,"",1.02144056960034
"120","B","A120",16.4292,2.3084,26.73,33.2,"",1.02145002199998
"121","B","A121",16.2871,2.2758,26.73,33.2,"",1.02145002199998
"122","B","A122",16.2903,2.2981,26.73,33.2,"",1.02145002199998
"123","B","A123",16.3043,2.2951,26.73,33.2,"",1.02145002199998
"124","B","A124",16.3064,2.2868,26.71,33.2,"",1.02145631977622
"125","B","A125",16.3172,2.2951,26.71,33.2,"",1.02145631977622
"126","B","A126",16.338,2.2943,26.71,33.2,"",1.02145631977622
"127","B","A127",16.3364,2.3124,26.71,33.2,"",1.02145631977622
"128","B","A128",16.3793,2.3044,26.7,33.2,"",1.02145946751695
"129","B","A129",16.3757,2.3147,26.69,33.2,"",1.02146261449259
