"Tag","Tank","Date","BW","Temp","Sal","Notes","Day","Genotype","Nutrients","Disease","Available","T_Type","T_AW","T_BW","Temperature","Salinity","X","T_SW_den","Days","dBW","dBW_r"
"201","3",2020-08-12,7.4844,27.9,32.2,"",0,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,0,0,NA
"201","3",2020-08-21,7.6186,27.8,33.6,"Batch 2",9,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,9,0.1342,1.9922921157489
"201","3",2020-09-04,7.7907,27.3,34.7,"",23,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,14,0.1721,1.61353229502234
"201","3",2020-09-11,7.8646,26.6,34.1,"",30,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,7,0.0739000000000001,1.35509554432116
"201","3",2020-09-18,7.9346,27.4,32.6,"",37,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,7,0.0699999999999994,1.27152048419499
"201","3",2020-09-25,7.9609,27.1,34.1,"",44,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,7,0.0263,0.473513832725387
"201","3",2020-10-02,7.9963,27.3,32.4,"",51,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,7,0.0354000000000001,0.635247629934162
"201","3",2020-10-09,8.0336,27.1,31.5,"",58,"FM9","NH4","Pathogen","Experiment","S",10.0171,1.4338,26.09,33.2,"",1.02165002864203,7,0.0373000000000001,0.666379629149912
"202","3",2020-08-12,6.0984,28,32.2,"",0,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,0,0,NA
"202","3",2020-08-21,6.1978,27.7,33.6,"",9,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,9,0.0994000000000002,1.81103968982757
"202","3",2020-09-04,6.3513,27.4,34.7,"",23,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,14,0.1535,1.76906091101451
"202","3",2020-09-11,6.4115,26.6,34.1,"",30,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,7,0.0602,1.35405350085809
"202","3",2020-09-18,6.4763,27.4,32.6,"",37,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,7,0.0648,1.443834181883
"202","3",2020-09-25,6.5009,27.1,34.2,"",44,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,7,0.0245999999999995,0.54263788185934
"202","3",2020-10-02,6.5401,27.3,32.4,"",51,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,7,0.0392000000000001,0.861419188112418
"202","3",2020-10-09,6.578,27.1,31.5,"",58,"FM9","NH4","Pathogen","Experiment","S",10.069,1.4394,26.06,33.2,"",1.02165932659844,7,0.0379000000000005,0.827859774970686
"204","4",2020-08-12,4.6097,27.9,32.2,"",0,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,0,0,NA
"204","4",2020-08-21,4.7257,27.3,33.7,"",9,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,9,0.116,2.79603637739741
"204","4",2020-09-04,4.8942,27.3,34.4,"",23,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,14,0.1685,2.54686380551332
"204","4",2020-09-11,4.9586,26.5,34.1,"",30,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,7,0.0644,1.8797760614605
"204","4",2020-09-18,5.0154,27.1,32.6,"",37,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,7,0.0568,1.63640658941752
"204","4",2020-09-25,5.0376,26.8,34.1,"",44,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,7,0.0222000000000007,0.632338112898007
"204","4",2020-10-02,5.0741,26.8,32.5,"",51,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,7,0.0364999999999993,1.03507339095713
"204","4",2020-10-09,5.1139,26.8,31.6,"",58,"FM9","NH4","Placebo","Experiment","S",10.07,1.4275,26.09,33.2,"",1.02165002864203,7,0.0398000000000005,1.12053650612214
"205","1",2020-08-12,6.969,27.8,32.2,"",0,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,0,0,NA
"205","1",2020-08-21,7.0894,28.1,33.3,"",9,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,9,0.1204,1.91961225108018
"205","1",2020-09-04,7.2623,27.6,34.6,"taking 3rd water sample (initial)",23,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,14,0.172899999999999,1.74203740796118
"205","1",2020-09-11,7.3521,27.5,33.9,"water sample 1",30,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,7,0.0898000000000003,1.76646123522458
"205","7",2020-09-18,7.4336,26.8,33.3,"",37,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,7,0.0815000000000001,1.58360973638242
"205","7",2020-09-25,7.5018,26.9,34,"",44,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,7,0.0682,1.31065125146055
"205","7",2020-10-02,7.5523,27,32.4,"",51,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,7,0.0504999999999995,0.961673960154316
"205","7",2020-10-09,7.6044,26.7,31.6,"",58,"FM9","NH4","Pathogen","Experiment","S",10.1074,1.4352,26.19,33.2,"",1.02161898529007,7,0.0521000000000003,0.985508671908846
"207","8",2020-08-12,4.6307,27.9,32.2,"",0,"FM9","Ambient","Placebo","Experiment","S",10.1113,1.4396,26.26,33.2,"",1.02159720906974,0,0,NA
