"Fragment","Date.0","Genotype.0","Tank.0","A_Tank.0","Nutrients.0","Disease.0","YII.0","Sample.0","Date.2","Genotype.2","Tank.2","A_Tank.2","Nutrients.2","Disease.2","YII.2","Sample.2","Date.3","Genotype.3","Tank.3","A_Tank.3","Nutrients.3","Disease.3","YII.3","Sample.3","Date.4","Genotype.4","Tank.4","A_Tank.4","Nutrients.4","Disease.4","YII.4","Sample.4","Date.5","Genotype.5","Tank.5","A_Tank.5","Nutrients.5","Disease.5","YII.5","Sample.5","Date.6","Genotype.6","Tank.6","A_Tank.6","Nutrients.6","Disease.6","YII.6","Sample.6","Date.7","Genotype.7","Tank.7","A_Tank.7","Nutrients.7","Disease.7","YII.7","Sample.7","Date.8","Genotype.8","Tank.8","A_Tank.8","Nutrients.8","Disease.8","YII.8","Sample.8","Date.9","Genotype.9","Tank.9","A_Tank.9","Nutrients.9","Disease.9","YII.9","Sample.9","Date.10","Genotype.10","Tank.10","A_Tank.10","Nutrients.10","Disease.10","YII.10","Sample.10","Date.11","Genotype.11","Tank.11","A_Tank.11","Nutrients.11","Disease.11","YII.11","Sample.11","Date.12","Genotype.12","Tank.12","A_Tank.12","Nutrients.12","Disease.12","YII.12","Sample.12","Date.13","Genotype.13","Tank.13","A_Tank.13","Nutrients.13","Disease.13","YII.13","Sample.13"
"A175","2020-08-12","FM19","1","3","NH4","Pathogen",0.684,"2020-08-12_A175","2020-09-02","FM19","7","3","NH4","Pathogen",0.654,"2020-09-02_A175","2020-09-11","FM19","3","3","NH4","Pathogen",0.59,"2020-09-11_A175","2020-09-18","FM19","3","3","NH4","Pathogen",0.586,"2020-09-18_A175","2020-09-22","FM19","3","3","NH4","Pathogen",0.561,"2020-09-22_A175","2020-09-25","FM19","3","3","NH4","Pathogen",0.571,"2020-09-25_A175","2020-10-02","FM19","3","3","NH4","Pathogen",0.559,"2020-10-02_A175","2020-10-09","FM19","3","3","NH4","Pathogen",0.536,"2020-10-09_A175","2020-10-15","FM19","3","3","NH4","Pathogen",0.581,"2020-10-15_A175","2020-10-23","FM19","3","3","NH4","Pathogen",0.593,"2020-10-23_A175",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","3","3","NH4","Pathogen",0.58,"2020-10-30_A175","2020-11-06","FM19","2","3","NH4","Pathogen",0.553,"2020-11-06_A175"
"A176","2020-08-12","FM19","1","4","NH4","Pathogen",0.705,"2020-08-12_A176","2020-09-02","FM19","4","4","NH4","Pathogen",0.596,"2020-09-02_A176","2020-09-11","FM19","4","4","NH4","Pathogen",0.661,"2020-09-11_A176","2020-09-18","FM19","4","4","NH4","Pathogen",0.616,"2020-09-18_A176","2020-09-22","FM19","4","4","NH4","Pathogen",0.595,"2020-09-22_A176","2020-09-25","FM19","4","4","NH4","Pathogen",0.572,"2020-09-25_A176","2020-10-02","FM19","4","4","NH4","Pathogen",0.605,"2020-10-02_A176","2020-10-09","FM19","4","4","NH4","Pathogen",0.58,"2020-10-09_A176","2020-10-15","FM19","4","4","NH4","Pathogen",0.611,"2020-10-15_A176","2020-10-23","FM19","4","4","NH4","Pathogen",0.601,"2020-10-23_A176",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","4","4","NH4","Pathogen",0.595,"2020-10-30_A176",NA,NA,NA,NA,NA,NA,NA,NA
"A177","2020-08-12","FM19","1","6","Ambient","Pathogen",0.704,"2020-08-12_A177","2020-09-02","FM19","6","6","Ambient","Pathogen",0.666,"2020-09-02_A177","2020-09-11","FM19","6","6","Ambient","Pathogen",0.642,"2020-09-11_A177","2020-09-18","FM19","6","6","Ambient","Pathogen",0.601,"2020-09-18_A177","2020-09-22","FM19","6","6","Ambient","Pathogen",0.589,"2020-09-22_A177","2020-09-25","FM19","6","6","Ambient","Pathogen",0.569,"2020-09-25_A177","2020-10-02","FM19","6","6","Ambient","Pathogen",0.565,"2020-10-02_A177","2020-10-09","FM19","6","6","Ambient","Pathogen",0.571,"2020-10-09_A177","2020-10-15","FM19","2","6","Ambient","Pathogen",0.577,"2020-10-15_A177","2020-10-23","FM19","2","6","Ambient","Pathogen",0.572,"2020-10-23_A177","2020-10-29","FM19","2","6","Ambient","Pathogen",0.546,"2020-10-29_A177","2020-10-30","FM19","2","6","Ambient","Pathogen",0.524,"2020-10-30_A177",NA,NA,NA,NA,NA,NA,NA,NA
"A178","2020-08-12","FM19","1","6","Ambient","Placebo",0.689,"2020-08-12_A178","2020-09-02","FM19","6","6","Ambient","Placebo",0.586,"2020-09-02_A178","2020-09-11","FM19","6","6","Ambient","Placebo",0.602,"2020-09-11_A178","2020-09-18","FM19","6","6","Ambient","Placebo",0.576,"2020-09-18_A178","2020-09-22","FM19","6","6","Ambient","Placebo",0.426,"2020-09-22_A178","2020-09-25","FM19","6","6","Ambient","Placebo",0.533,"2020-09-25_A178","2020-10-02","FM19","6","6","Ambient","Placebo",0.554,"2020-10-02_A178","2020-10-09","FM19","6","6","Ambient","Placebo",0.548,"2020-10-09_A178","2020-10-15","FM19","6","6","Ambient","Placebo",0.503,"2020-10-15_A178","2020-10-23","FM19","6","6","Ambient","Placebo",0.519,"2020-10-23_A178",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","6","6","Ambient","Placebo",0.556,"2020-10-30_A178","2020-11-06","FM19","5","6","Ambient","Pathogen",0.48,"2020-11-06_A178"
"A179","2020-08-12","FM19","1","4","NH4","Pathogen",0.687,"2020-08-12_A179","2020-09-02","FM19","4","4","NH4","Pathogen",0.587,"2020-09-02_A179","2020-09-11","FM19","4","4","NH4","Pathogen",0.599,"2020-09-11_A179","2020-09-18","FM19","4","4","NH4","Pathogen",0.556,"2020-09-18_A179","2020-09-22","FM19","4","4","NH4","Pathogen",0.523,"2020-09-22_A179","2020-09-25","FM19","4","4","NH4","Pathogen",0.592,"2020-09-25_A179","2020-10-02","FM19","4","4","NH4","Pathogen",0.546,"2020-10-02_A179","2020-10-09","FM19","4","4","NH4","Pathogen",0.557,"2020-10-09_A179","2020-10-15","FM19","4","4","NH4","Pathogen",0.591,"2020-10-15_A179","2020-10-23","FM19","4","4","NH4","Pathogen",0.584,"2020-10-23_A179",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","4","4","NH4","Pathogen",0.575,"2020-10-30_A179","2020-11-06","FM19","3","4","NH4","Pathogen",0.595,"2020-11-06_A179"
"A180","2020-08-12","FM19","1","5","Ambient","Pathogen",0.695,"2020-08-12_A180","2020-09-02","FM19","5","5","Ambient","Pathogen",0.614,"2020-09-02_A180","2020-09-11","FM19","5","5","Ambient","Pathogen",0.556,"2020-09-11_A180","2020-09-18","FM19","5","5","Ambient","Pathogen",0.533,"2020-09-18_A180","2020-09-22","FM19","5","5","Ambient","Pathogen",0.563,"2020-09-22_A180","2020-09-25","FM19","5","5","Ambient","Pathogen",0.535,"2020-09-25_A180","2020-10-02","FM19","5","5","Ambient","Pathogen",0.564,"2020-10-02_A180","2020-10-09","FM19","5","5","Ambient","Pathogen",0.545,"2020-10-09_A180","2020-10-15","FM19","1","5","Ambient","Pathogen",0.58,"2020-10-15_A180","2020-10-23","FM19","1","5","Ambient","Pathogen",0.545,"2020-10-23_A180",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","1","5","Ambient","Pathogen",0.524,"2020-10-30_A180","2020-11-06","FM19","1","5","Ambient","Pathogen",0.533,"2020-11-06_A180"
"A181","2020-08-12","FM19","1","5","Ambient","Pathogen",0.696,"2020-08-12_A181","2020-09-02","FM19","5","5","Ambient","Pathogen",0.665,"2020-09-02_A181","2020-09-11","FM19","5","5","Ambient","Pathogen",0.653,"2020-09-11_A181","2020-09-18","FM19","5","5","Ambient","Pathogen",0.611,"2020-09-18_A181","2020-09-22","FM19","5","5","Ambient","Pathogen",0.596,"2020-09-22_A181","2020-09-25","FM19","5","5","Ambient","Pathogen",0.574,"2020-09-25_A181","2020-10-02","FM19","5","5","Ambient","Pathogen",0.592,"2020-10-02_A181","2020-10-09","FM19","5","5","Ambient","Pathogen",0.567,"2020-10-09_A181","2020-10-15","FM19","1","5","Ambient","Pathogen",0.576,"2020-10-15_A181","2020-10-23","FM19","1","5","Ambient","Pathogen",0.527,"2020-10-23_A181",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","1","5","Ambient","Pathogen",0.541,"2020-10-30_A181","2020-11-06","FM19","1","5","Ambient","Pathogen",0.498,"2020-11-06_A181"
"A182","2020-08-12","FM19","1","1","Ambient","Pathogen",0.688,"2020-08-12_A182","2020-09-02","FM19","3","1","Ambient","Pathogen",0.635,"2020-09-02_A182","2020-09-11","FM19","7","1","Ambient","Pathogen",0.61,"2020-09-11_A182","2020-09-18","FM19","1","1","Ambient","Pathogen",0.603,"2020-09-18_A182","2020-09-22","FM19","1","1","Ambient","Pathogen",0.6,"2020-09-22_A182","2020-09-25","FM19","1","1","Ambient","Pathogen",0.62,"2020-09-25_A182","2020-10-02","FM19","1","1","Ambient","Pathogen",0.617,"2020-10-02_A182","2020-10-09","FM19","1","1","Ambient","Pathogen",0.571,"2020-10-09_A182","2020-10-15","FM19","1","1","Ambient","Pathogen",0.583,"2020-10-15_A182","2020-10-23","FM19","1","1","Ambient","Pathogen",0.565,"2020-10-23_A182",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","1","1","Ambient","Pathogen",0.564,"2020-10-30_A182","2020-11-06","FM19","1","1","Ambient","Pathogen",0.538,"2020-11-06_A182"
"A183","2020-08-12","FM19","1","8","NH4","Pathogen",0.679,"2020-08-12_A183","2020-09-02","FM19","2","8","NH4","Pathogen",0.616,"2020-09-02_A183","2020-09-11","FM19","2","8","NH4","Pathogen",0.571,"2020-09-11_A183","2020-09-18","FM19","8","8","NH4","Pathogen",0.536,"2020-09-18_A183","2020-09-22","FM19","8","8","NH4","Pathogen",0.586,"2020-09-22_A183","2020-09-25","FM19","8","8","NH4","Pathogen",0.569,"2020-09-25_A183","2020-10-02","FM19","8","8","NH4","Pathogen",0.579,"2020-10-02_A183","2020-10-09","FM19","8","8","NH4","Pathogen",0.574,"2020-10-09_A183","2020-10-15","FM19","4","8","NH4","Pathogen",0.587,"2020-10-15_A183","2020-10-23","FM19","4","8","NH4","Pathogen",0.582,"2020-10-23_A183",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","4","8","NH4","Pathogen",0.583,"2020-10-30_A183",NA,NA,NA,NA,NA,NA,NA,NA
"A184","2020-08-12","FM19","1","7","NH4","Pathogen",0.693,"2020-08-12_A184","2020-09-02","FM19","1","7","NH4","Pathogen",0.655,"2020-09-02_A184","2020-09-11","FM19","1","7","NH4","Pathogen",0.618,"2020-09-11_A184","2020-09-18","FM19","7","7","NH4","Pathogen",0.6,"2020-09-18_A184","2020-09-22","FM19","7","7","NH4","Pathogen",0.575,"2020-09-22_A184","2020-09-25","FM19","7","7","NH4","Pathogen",0.608,"2020-09-25_A184","2020-10-02","FM19","7","7","NH4","Pathogen",0.598,"2020-10-02_A184","2020-10-09","FM19","7","7","NH4","Pathogen",0.591,"2020-10-09_A184","2020-10-15","FM19","3","7","NH4","Pathogen",0.594,"2020-10-15_A184","2020-10-23","FM19","3","7","NH4","Pathogen",0.606,"2020-10-23_A184",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","3","7","NH4","Pathogen",0.582,"2020-10-30_A184","2020-11-06","FM19","2","7","NH4","Pathogen",0.572,"2020-11-06_A184"
